,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total des dépenses (*),"663,7","683,1","700,8","711,2","733,0","759,4","791,1","833,8","864,3","898,6","937,0","972,8","1 016,2","1 057,6","1 100,6","1 128,0","1 151,5","1 186,0","1 207,1","1 226,7"
01 - Services généraux des administrations publiques,"100,3","104,2","112,3","110,1","111,4","114,9","119,7","121,7","121,6","125,8","131,2","127,5","138,6","144,0","138,8","135,6","140,7","144,7","145,6","142,1"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","24,7","24,4","25,3","25,5","25,4","26,3","29,2","29,9","31,6","31,5","33,9","31,0","36,1","34,3","36,5","34,6","34,8","35,3","40,7","38,8"
    01.2 - Aide économique extérieure,"1,4","1,5","1,5","1,5","1,6","1,6","1,8","2,1","2,3","2,4","2,7","2,3","2,4","2,5","2,8","3,9","3,3","4,6","3,9","4,0"
    01.3 - Services généraux,"24,0","25,1","30,6","28,2","31,7","33,6","31,9","31,2","29,2","32,5","33,6","34,6","36,9","37,3","40,0","36,9","36,8","39,7","39,8","40,1"
    01.4 - Recherche fondamentale,"7,8","8,0","8,0","8,1","8,3","8,2","8,6","9,0","9,8","9,9","10,2","8,8","9,1","9,1","8,1","7,6","7,1","6,9","7,0","7,0"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,7","0,7","0,8","0,7","0,7","0,9","1,0","1,0","1,1","1,0","1,1","1,1","1,3","1,5","1,6","1,6","1,8","1,9","3,2","3,1"
    01.7 - Opérations concernant la dette publique,"41,6","44,4","46,0","46,0","43,7","44,1","47,2","48,3","47,5","48,3","49,5","49,6","52,8","59,2","49,6","50,9","56,9","56,4","51,0","49,2"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"30,4","32,1","31,4","29,1","28,8","28,7","30,9","32,3","30,3","31,5","31,8","33,1","33,7","34,3","36,5","37,2","36,7","37,5","37,4","36,3"
    02.1 - Défense militaire,"26,3","27,8","27,2","25,0","24,8","24,7","26,6","27,7","26,0","27,1","27,3","28,2","28,6","29,1","31,0","31,3","30,9","32,0","32,3","31,3"
    02.2 - Défense civile,"0,3","0,3","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,3","0,2","0,2","0,2"
    02.3 - Aide militaire à des pays étrangers,"0,8","0,8","0,9","0,9","0,8","0,9","0,9","1,0","1,0","1,0","1,0","1,4","1,5","1,6","1,8","1,8","1,9","1,7","2,3","2,2"
    02.4 - R-D concernant la défense,"1,9","2,0","2,0","1,8","1,8","1,8","1,9","2,0","1,9","1,9","1,9","2,0","2,1","2,2","2,2","2,1","1,9","1,9","1,3","1,3"
    02.5 - Défense n.c.a.,"1,2","1,2","1,1","1,2","1,1","1,1","1,3","1,4","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,6","1,7","1,7","1,3","1,3"
03 - Ordre et sécurité publics,"18,1","18,4","18,5","19,1","19,7","20,1","22,2","24,3","25,4","26,0","26,6","27,3","28,3","30,7","32,2","33,6","33,7","33,9","34,5","34,5"
    03.1 - Services de police,"11,4","11,6","11,6","12,0","12,4","12,6","13,5","14,6","15,3","15,5","15,7","16,0","16,6","18,0","18,9","19,4","19,5","19,4","19,8","19,8"
    03.2 - Services de protection civile,"1,6","1,7","1,7","1,8","2,0","2,2","3,0","3,4","3,8","3,9","4,3","4,6","4,9","5,2","5,4","5,6","5,7","5,9","5,9","6,0"
    03.3 - Tribunaux,"2,9","3,0","3,0","3,0","3,1","3,1","3,3","3,6","3,7","3,9","3,9","3,9","4,0","4,3","4,6","4,8","4,7","4,8","4,8","4,8"
    03.4 - Administration pénitentiaire,"1,7","1,7","1,7","1,8","1,8","1,8","1,9","2,1","2,1","2,2","2,2","2,2","2,3","2,4","2,6","3,1","3,0","3,1","3,3","3,2"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,4","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,7","0,8","0,7"
04 - Affaires économiques,"70,6","69,8","65,2","65,5","65,9","69,0","66,2","71,4","71,8","75,6","81,5","83,1","82,9","89,4","95,6","101,5","98,1","104,8","104,3","108,3"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","12,5","12,5","11,4","11,8","12,2","11,8","11,8","12,5","11,3","11,9","12,3","13,5","12,7","14,8","19,1","22,2","18,4","21,9","22,1","23,1"
"    04.2 - Agriculture, sylviculture, pêche et chasse","5,9","6,3","6,1","6,0","6,1","6,2","5,4","6,0","5,9","7,0","7,4","7,6","7,5","7,7","8,2","8,4","7,9","4,5","4,2","4,4"
    04.3 - Combustibles et énergie,"3,6","3,3","3,1","3,2","3,3","3,5","3,7","4,2","4,4","4,0","4,2","4,4","4,7","4,4","4,7","4,9","6,5","8,2","9,4","10,5"
"    04.4 - Industries extractives et manufacturières, construction","0,5","0,5","0,4","0,5","0,5","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,5","0,5","0,6","0,6","0,5","0,6","0,5","0,6"
    04.5 - Transports,"32,1","30,1","28,0","28,0","27,4","30,1","27,0","29,0","30,9","32,4","36,0","35,6","36,1","37,8","37,6","38,9","39,0","40,3","40,6","41,0"
    04.6 - Communications,"0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,4","1,4","1,3","1,2"
    04.7 - Autres branches d'activité,"3,9","4,4","4,0","3,9","3,7","4,2","3,7","4,0","4,2","4,4","4,7","4,8","4,8","6,5","7,0","7,2","6,0","6,2","6,3","7,8"
    04.8 - R-D concernant les affaires économiques,"10,8","11,5","10,8","10,8","11,4","11,5","12,7","13,9","13,2","13,9","14,9","15,0","14,9","16,1","16,7","17,4","17,8","17,6","18,1","18,0"
    04.9 - Affaires économiques n.c.a.,"1,0","1,1","1,1","1,1","1,1","1,1","1,1","1,2","1,2","1,3","1,4","1,5","1,5","1,5","1,5","1,7","1,7","4,1","1,8","1,8"
05 - Protection de l'environnement,"7,2","7,5","8,3","8,4","8,9","10,3","11,5","12,0","13,2","14,3","15,3","16,6","16,9","17,8","19,2","19,8","20,4","21,0","21,2","21,1"
    05.1 - Gestion des déchets,"3,0","3,2","3,7","3,9","4,0","4,7","4,8","5,6","6,4","6,9","7,3","7,8","8,0","8,4","9,0","9,6","10,3","10,6","10,9","10,9"
    05.2 - Gestion des eaux usées,"1,8","1,7","1,9","2,0","2,2","2,6","2,8","2,9","3,1","3,4","4,0","4,1","4,4","4,7","5,0","4,8","4,9","4,9","4,8","4,6"
